,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 18_level_1,Dunks,Dunks,Layups,Layups,Unnamed: 23_level_1,Corner,Corner,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
0,1.0,Atlanta Hawks*,82,19855,0.46799999999999997,12.3,0.7859999999999999,0.29600000000000004,0.16699999999999998,0.087,0.237,0.214,0.49700000000000005,0.638,0.435,0.41700000000000004,0.39399999999999996,0.36,0.51,0.057,366,0.21899999999999997,855,0.828,0.38799999999999996,0.36,18.0,1.0
1,2.0,Boston Celtics*,82,19780,0.483,11.9,0.772,0.33899999999999997,0.139,0.107,0.188,0.228,0.523,0.65,0.419,0.423,0.425,0.348,0.585,0.036000000000000004,206,0.299,1164,0.89,0.214,0.33899999999999997,11.0,0.0
2,3.0,Charlotte Bobcats*,82,19880,0.45299999999999996,11.0,0.789,0.408,0.098,0.08,0.203,0.21100000000000002,0.48200000000000004,0.58,0.39799999999999996,0.365,0.37200000000000005,0.34600000000000003,0.526,0.055999999999999994,302,0.33299999999999996,1129,0.861,0.28600000000000003,0.37799999999999995,19.0,1.0
3,4.0,Chicago Bulls*,82,19905,0.451,11.9,0.8440000000000001,0.331,0.105,0.10800000000000001,0.3,0.156,0.474,0.575,0.43200000000000005,0.418,0.39799999999999996,0.33,0.51,0.049,302,0.255,915,0.884,0.308,0.39299999999999996,9.0,0.0
4,5.0,Cleveland Cavaliers*,82,19780,0.485,12.5,0.752,0.33899999999999997,0.11900000000000001,0.08,0.214,0.248,0.52,0.667,0.44299999999999995,0.369,0.387,0.381,0.551,0.073,427,0.248,966,0.762,0.32899999999999996,0.41200000000000003,12.0,1.0
5,6.0,Dallas Mavericks*,82,19880,0.46399999999999997,12.7,0.778,0.282,0.127,0.142,0.22899999999999998,0.222,0.491,0.6,0.42200000000000004,0.41,0.444,0.37200000000000005,0.556,0.038,235,0.22399999999999998,853,0.8640000000000001,0.221,0.39899999999999997,13.0,0.0
6,7.0,Denver Nuggets*,82,19780,0.46799999999999997,12.0,0.773,0.35100000000000003,0.11,0.094,0.218,0.22699999999999998,0.5,0.623,0.38799999999999996,0.4,0.401,0.359,0.503,0.066,407,0.265,998,0.772,0.214,0.4,16.0,0.0
7,8.0,Detroit Pistons,82,19780,0.445,11.8,0.82,0.319,0.125,0.145,0.23,0.18,0.474,0.588,0.395,0.414,0.396,0.314,0.49,0.045,264,0.251,894,0.89,0.322,0.33399999999999996,14.0,0.0
8,9.0,Golden State Warriors,82,19730,0.469,13.3,0.762,0.298,0.113,0.095,0.256,0.23800000000000002,0.499,0.6509999999999999,0.36700000000000005,0.39299999999999996,0.419,0.375,0.48100000000000004,0.039,262,0.24600000000000002,1063,0.858,0.253,0.433,20.0,0.0
9,10.0,Houston Rockets,82,19905,0.447,12.0,0.735,0.34600000000000003,0.134,0.08900000000000001,0.165,0.265,0.48100000000000004,0.5720000000000001,0.42700000000000005,0.382,0.38799999999999996,0.35100000000000003,0.507,0.031,196,0.301,1125,0.85,0.24,0.395,15.0,0.0
10,11.0,Indiana Pacers,82,19705,0.44299999999999995,13.4,0.722,0.28,0.135,0.098,0.209,0.278,0.479,0.599,0.425,0.40299999999999997,0.39,0.348,0.474,0.034,216,0.237,911,0.9259999999999999,0.18899999999999997,0.36200000000000004,11.0,0.0
