,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 18_level_1,Dunks,Dunks,Layups,Layups,Unnamed: 23_level_1,Corner,Corner
,Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%
0,1.0,Atlanta Hawks,6.0,1440,0.45399999999999996,14.3,0.6940000000000001,0.252,0.121,0.129,0.192,0.306,0.515,0.634,0.444,0.44799999999999995,0.45,0.314,0.473,0.04,20,0.21899999999999997,66,0.78,0.182,0.276
1,2.0,Boston Celtics,18.0,4345,0.473,13.2,0.67,0.322,0.13699999999999998,0.091,0.11900000000000001,0.33,0.532,0.636,0.43700000000000006,0.442,0.433,0.353,0.493,0.037000000000000005,53,0.292,262,0.8009999999999999,0.27699999999999997,0.319
2,3.0,Chicago Bulls,6.0,1440,0.45799999999999996,14.3,0.556,0.33299999999999996,0.087,0.054000000000000006,0.079,0.444,0.5539999999999999,0.6609999999999999,0.47700000000000004,0.37,0.325,0.33899999999999997,0.6,0.054000000000000006,24,0.292,91,0.934,0.223,0.3
3,4.0,Cleveland Cavaliers,18.0,4320,0.457,14.1,0.648,0.268,0.147,0.10400000000000001,0.13,0.35200000000000004,0.508,0.639,0.425,0.36,0.451,0.363,0.5710000000000001,0.051,73,0.23199999999999998,211,0.772,0.244,0.368
4,5.0,Golden State Warriors,17.0,4080,0.429,13.3,0.664,0.299,0.146,0.11199999999999999,0.106,0.336,0.474,0.619,0.37799999999999995,0.294,0.385,0.341,0.447,0.055,74,0.24600000000000002,204,0.741,0.257,0.32799999999999996
5,6.0,Houston Rockets,11.0,2665,0.455,12.6,0.7040000000000001,0.331,0.13699999999999998,0.115,0.12,0.29600000000000004,0.514,0.629,0.43700000000000006,0.37200000000000005,0.424,0.316,0.486,0.059000000000000004,49,0.282,155,0.804,0.22699999999999998,0.348
6,7.0,Indiana Pacers,4.0,960,0.483,14.3,0.595,0.284,0.145,0.057,0.109,0.405,0.5379999999999999,0.596,0.45799999999999996,0.42100000000000004,0.556,0.40299999999999997,0.396,0.051,15,0.257,45,0.685,0.306,0.585
7,8.0,Los Angeles Clippers,7.0,1680,0.47700000000000004,13.7,0.67,0.20800000000000002,0.209,0.155,0.098,0.33,0.521,0.727,0.5589999999999999,0.317,0.327,0.389,0.45399999999999996,0.053,27,0.168,56,0.838,0.24600000000000002,0.465
8,9.0,Memphis Grizzlies,6.0,1465,0.48200000000000004,13.9,0.6890000000000001,0.251,0.14300000000000002,0.14,0.156,0.311,0.514,0.647,0.39399999999999996,0.523,0.40299999999999997,0.41,0.256,0.05,20,0.203,55,0.9490000000000001,0.319,0.457
9,10.0,Milwaukee Bucks,6.0,1440,0.43700000000000006,13.2,0.6729999999999999,0.311,0.14400000000000002,0.068,0.151,0.327,0.478,0.551,0.516,0.33299999999999996,0.358,0.35200000000000004,0.455,0.059000000000000004,20,0.261,59,0.843,0.33799999999999997,0.449
10,11.0,Oklahoma City Thunder,5.0,1200,0.456,12.8,0.597,0.389,0.11,0.05,0.048,0.40299999999999997,0.5720000000000001,0.638,0.478,0.5710000000000001,0.25,0.284,0.37799999999999995,0.05,20,0.348,83,0.604,0.17800000000000002,0.433
11,12.0,Portland Trail Blazers,4.0,960,0.484,14.3,0.645,0.295,0.12,0.095,0.135,0.355,0.529,0.6409999999999999,0.5,0.485,0.34,0.40299999999999997,0.622,0.066,21,0.226,43,0.7,0.113,0.35700000000000004
12,13.0,San Antonio Spurs,16.0,3890,0.462,14.2,0.597,0.29600000000000004,0.134,0.084,0.084,0.40299999999999997,0.517,0.5920000000000001,0.424,0.45899999999999996,0.45,0.382,0.491,0.042,52,0.255,181,0.7829999999999999,0.22,0.436
13,14.0,Toronto Raptors,10.0,2400,0.466,13.5,0.6679999999999999,0.276,0.166,0.09699999999999999,0.131,0.332,0.479,0.622,0.382,0.342,0.39799999999999996,0.441,0.484,0.062,44,0.22899999999999998,91,0.852,0.284,0.45899999999999996
14,15.0,Utah Jazz,11.0,2640,0.47700000000000004,14.0,0.68,0.273,0.126,0.134,0.146,0.32,0.537,0.728,0.409,0.41,0.406,0.35,0.514,0.076,62,0.205,113,0.755,0.196,0.4
15,16.0,Washington Wizards,13.0,3145,0.45899999999999996,13.7,0.637,0.32,0.114,0.085,0.11599999999999999,0.363,0.512,0.618,0.419,0.446,0.365,0.365,0.593,0.043,39,0.28600000000000003,182,0.799,0.19,0.4
