,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 18_level_1,Dunks,Dunks,Layups,Layups,Unnamed: 23_level_1,Corner,Corner
,Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%
0,1.0,Atlanta Hawks,6.0,1465,0.433,13.3,0.809,0.265,0.109,0.135,0.3,0.191,0.465,0.557,0.42,0.435,0.413,0.295,0.5720000000000001,0.037000000000000005,15,0.217,51,0.769,0.341,0.3
1,2.0,Boston Celtics,20.0,4875,0.42700000000000005,12.8,0.7709999999999999,0.276,0.153,0.141,0.201,0.22899999999999998,0.45799999999999996,0.631,0.396,0.38,0.322,0.324,0.5,0.054000000000000006,75,0.21100000000000002,183,0.75,0.285,0.363
2,3.0,Chicago Bulls,6.0,1440,0.40700000000000003,12.8,0.8270000000000001,0.24600000000000002,0.152,0.165,0.263,0.17300000000000001,0.44,0.5479999999999999,0.38,0.429,0.382,0.247,0.5529999999999999,0.043,20,0.221,48,0.45,0.14800000000000002,0.083
3,4.0,Dallas Mavericks,4.0,960,0.467,13.5,0.725,0.258,0.127,0.13699999999999998,0.203,0.275,0.5,0.6459999999999999,0.359,0.5,0.40299999999999997,0.381,0.369,0.059000000000000004,17,0.183,31,0.9059999999999999,0.226,0.526
4,5.0,Denver Nuggets,7.0,1680,0.426,12.3,0.7759999999999999,0.298,0.18600000000000003,0.11,0.183,0.22399999999999998,0.45799999999999996,0.591,0.363,0.358,0.396,0.316,0.519,0.067,37,0.215,70,0.884,0.34600000000000003,0.34
5,6.0,Indiana Pacers,11.0,2665,0.43,13.1,0.75,0.26899999999999996,0.153,0.129,0.2,0.25,0.466,0.594,0.385,0.42700000000000005,0.382,0.319,0.413,0.05,39,0.215,99,0.809,0.235,0.26
6,7.0,Los Angeles Clippers,11.0,2665,0.45399999999999996,11.9,0.7979999999999999,0.27699999999999997,0.21899999999999997,0.124,0.17800000000000002,0.20199999999999999,0.47700000000000004,0.614,0.462,0.327,0.387,0.365,0.519,0.026000000000000002,20,0.24600000000000002,122,0.887,0.28800000000000003,0.408
7,8.0,Los Angeles Lakers,12.0,2880,0.44299999999999995,11.5,0.7929999999999999,0.341,0.16899999999999998,0.12300000000000001,0.16,0.207,0.48200000000000004,0.586,0.397,0.43700000000000006,0.384,0.29600000000000004,0.457,0.064,61,0.267,145,0.81,0.244,0.365
8,9.0,Memphis Grizzlies,7.0,1705,0.452,12.9,0.762,0.28300000000000003,0.16899999999999998,0.10099999999999999,0.209,0.23800000000000002,0.483,0.637,0.345,0.5,0.38,0.35,0.42100000000000004,0.083,37,0.19399999999999998,54,0.7909999999999999,0.268,0.39399999999999996
9,10.0,Miami Heat,23.0,5570,0.431,12.4,0.763,0.31,0.14800000000000002,0.121,0.185,0.237,0.47100000000000003,0.579,0.39,0.40299999999999997,0.4,0.3,0.40700000000000003,0.057999999999999996,94,0.23399999999999999,218,0.8029999999999999,0.295,0.4
10,11.0,New York Knicks,5.0,1200,0.456,13.7,0.6990000000000001,0.24,0.166,0.11,0.182,0.301,0.494,0.701,0.41700000000000004,0.4,0.348,0.36700000000000005,0.504,0.05,15,0.182,44,0.8,0.36700000000000005,0.4
11,12.0,Oklahoma City Thunder,20.0,4800,0.441,12.1,0.742,0.282,0.204,0.11699999999999999,0.139,0.258,0.462,0.63,0.39799999999999996,0.37200000000000005,0.29,0.384,0.415,0.046,62,0.225,200,0.858,0.307,0.40299999999999997
12,13.0,Orlando Magic,5.0,1225,0.445,12.3,0.778,0.281,0.161,0.154,0.18100000000000002,0.222,0.48100000000000004,0.652,0.424,0.413,0.324,0.319,0.366,0.028999999999999998,12,0.23,60,0.862,0.275,0.32
13,14.0,Philadelphia 76ers,13.0,3120,0.43,13.2,0.81,0.239,0.14400000000000002,0.165,0.263,0.19,0.462,0.62,0.363,0.401,0.41,0.297,0.6409999999999999,0.037000000000000005,34,0.20800000000000002,117,0.789,0.198,0.316
14,15.0,San Antonio Spurs,14.0,3360,0.445,12.0,0.8109999999999999,0.27399999999999997,0.188,0.145,0.204,0.18899999999999997,0.462,0.573,0.363,0.392,0.455,0.37,0.48700000000000004,0.06,57,0.21,118,0.763,0.259,0.41100000000000003
15,16.0,Utah Jazz,4.0,960,0.48100000000000004,11.5,0.747,0.32799999999999996,0.19399999999999998,0.09699999999999999,0.128,0.253,0.506,0.6759999999999999,0.40299999999999997,0.355,0.341,0.40700000000000003,0.496,0.040999999999999995,10,0.29100000000000004,62,0.7879999999999999,0.358,0.414
